t30,t21
t30,t20
t30,t31
t30,t23
t30,t22
t30,t44
t30,t16
t30,t27
t30,t26
t30,t18
t30,t29
t30,t17
t30,t28
t30,t0
t30,t19
t30,t1
t30,t2
t21,t30
t21,t20
t21,t31
t21,t23
t21,t22
t21,t44
t21,t16
t21,t27
t21,t26
t21,t18
t21,t29
t21,t17
t21,t28
t21,t0
t21,t19
t21,t1
t21,t2
t20,t30
t20,t21
t20,t31
t20,t23
t20,t22
t20,t44
t20,t16
t20,t27
t20,t26
t20,t18
t20,t29
t20,t17
t20,t28
t20,t0
t20,t19
t20,t1
t20,t2
t31,t30
t31,t21
t31,t20
t31,t23
t31,t22
t31,t16
t31,t27
t31,t26
t31,t18
t31,t29
t31,t17
t31,t28
t31,t0
t31,t19
t31,t1
t31,t2
t23,t30
t23,t21
t23,t20
t23,t31
t23,t22
t23,t44
t23,t16
t23,t27
t23,t26
t23,t18
t23,t29
t23,t17
t23,t28
t23,t0
t23,t19
t23,t1
t23,t2
t22,t30
t22,t21
t22,t20
t22,t31
t22,t23
t22,t44
t22,t16
t22,t27
t22,t26
t22,t18
t22,t29
t22,t17
t22,t28
t22,t0
t22,t19
t22,t1
t22,t2
t44,t30
t44,t21
t44,t20
t44,t23
t44,t22
t44,t16
t44,t27
t44,t26
t44,t18
t44,t29
t44,t17
t44,t28
t44,t0
t44,t19
t44,t1
t16,t30
t16,t21
t16,t20
t16,t31
t16,t23
t16,t22
t16,t44
t16,t27
t16,t26
t16,t18
t16,t29
t16,t17
t16,t28
t16,t0
t16,t19
t16,t1
t16,t2
t27,t30
t27,t21
t27,t20
t27,t31
t27,t23
t27,t22
t27,t44
t27,t16
t27,t26
t27,t18
t27,t29
t27,t17
t27,t28
t27,t0
t27,t19
t27,t1
t27,t2
t26,t30
t26,t21
t26,t20
t26,t31
t26,t23
t26,t22
t26,t44
t26,t16
t26,t27
t26,t18
t26,t29
t26,t17
t26,t28
t26,t0
t26,t19
t26,t1
t26,t2
t18,t30
t18,t21
t18,t20
t18,t31
t18,t23
t18,t22
t18,t44
t18,t16
t18,t27
t18,t26
t18,t29
t18,t17
t18,t28
t18,t0
t18,t19
t18,t1
t18,t2
t29,t30
t29,t21
t29,t20
t29,t31
t29,t23
t29,t22
t29,t44
t29,t16
t29,t27
t29,t26
t29,t18
t29,t17
t29,t28
t29,t0
t29,t19
t29,t1
t29,t2
t17,t30
t17,t21
t17,t20
t17,t31
t17,t23
t17,t22
t17,t44
t17,t16
t17,t27
t17,t26
t17,t18
t17,t29
t17,t28
t17,t0
t17,t19
t17,t1
t17,t2
t28,t30
t28,t21
t28,t20
t28,t31
t28,t23
t28,t22
t28,t44
t28,t16
t28,t27
t28,t26
t28,t18
t28,t29
t28,t17
t28,t0
t28,t19
t28,t1
t28,t2
t0,t30
t0,t21
t0,t20
t0,t31
t0,t23
t0,t22
t0,t44
t0,t16
t0,t27
t0,t26
t0,t18
t0,t29
t0,t17
t0,t28
t0,t19
t0,t1
t0,t2
t19,t30
t19,t21
t19,t20
t19,t31
t19,t23
t19,t22
t19,t44
t19,t16
t19,t27
t19,t26
t19,t18
t19,t29
t19,t17
t19,t28
t19,t0
t19,t1
t19,t2
t1,t30
t1,t21
t1,t20
t1,t31
t1,t23
t1,t22
t1,t44
t1,t16
t1,t27
t1,t26
t1,t18
t1,t29
t1,t17
t1,t28
t1,t0
t1,t19
t1,t2
t2,t30
t2,t21
t2,t31
t2,t20
t2,t23
t2,t22
t2,t16
t2,t27
t2,t26
t2,t18
t2,t29
t2,t17
t2,t28
t2,t0
t2,t19
t2,t1
